name,id,duration,three_race_duration,help_label,racetrack_2,racetrack_3,lap_2,lap_3,lap_4,lap_5,help_2,help_3,experience_2,experience_3,race_number_2,race_number_3,lap
VK ID14,12,72.45,955.26,With Driving Coach,True,False,False,False,False,False,True,False,True,False,False,True,1
VK ID14,12,78.7,955.26,With Driving Coach,True,False,True,False,False,False,True,False,True,False,False,True,2
VK ID14,12,66.87,955.26,With Driving Coach,True,False,False,True,False,False,True,False,True,False,False,True,3
VK ID14,12,81.46,955.26,With Driving Coach,True,False,False,False,True,False,True,False,True,False,False,True,4
VK ID14,12,64.77,955.26,With Driving Coach,True,False,False,False,False,True,True,False,True,False,False,True,5
AuL ID10,13,82.2,1081.16,No Assistance,True,False,False,False,False,False,False,False,True,False,False,False,1
AuL ID10,13,76.71,1081.16,No Assistance,True,False,True,False,False,False,False,False,True,False,False,False,2
AuL ID10,13,76.2,1081.16,No Assistance,True,False,False,True,False,False,False,False,True,False,False,False,3
AuL ID10,13,80.68,1081.16,No Assistance,True,False,False,False,True,False,False,False,True,False,False,False,4
AuL ID10,13,73.24,1081.16,No Assistance,True,False,False,False,False,True,False,False,True,False,False,False,5
AuL ID10,13,88.99,1081.16,With Driving Coach,False,True,False,False,False,False,True,False,True,False,True,False,1
AuL ID10,13,74.1,1081.16,With Driving Coach,False,True,True,False,False,False,True,False,True,False,True,False,2
AuL ID10,13,85.46,1081.16,With Driving Coach,False,True,False,True,False,False,True,False,True,False,True,False,3
AuL ID10,13,83.88,1081.16,With Driving Coach,False,True,False,False,True,False,True,False,True,False,True,False,4
AuL ID10,13,70.74,1081.16,With Driving Coach,False,True,False,False,False,True,True,False,True,False,True,False,5
AuL ID10,13,70.84,1081.16,With Ideal Driving Line,False,False,False,False,False,False,False,True,True,False,False,True,1
AuL ID10,13,57.39,1081.16,With Ideal Driving Line,False,False,True,False,False,False,False,True,True,False,False,True,2
AuL ID10,13,56.09,1081.16,With Ideal Driving Line,False,False,False,True,False,False,False,True,True,False,False,True,3
AuL ID10,13,52.68,1081.16,With Ideal Driving Line,False,False,False,False,True,False,False,True,True,False,False,True,4
AuL ID10,13,51.96,1081.16,With Ideal Driving Line,False,False,False,False,False,True,False,True,True,False,False,True,5
BS ID12,14,75.06,969.93,With Driving Coach,False,True,False,False,False,False,True,False,True,False,False,False,1
BS ID12,14,76.69,969.93,With Driving Coach,False,True,True,False,False,False,True,False,True,False,False,False,2
BS ID12,14,68.03,969.93,With Driving Coach,False,True,False,True,False,False,True,False,True,False,False,False,3
BS ID12,14,65.16,969.93,With Driving Coach,False,True,False,False,True,False,True,False,True,False,False,False,4
BS ID12,14,73.35,969.93,With Driving Coach,False,True,False,False,False,True,True,False,True,False,False,False,5
BS ID12,14,50.14,969.93,With Ideal Driving Line,False,False,False,False,False,False,False,True,True,False,True,False,1
BS ID12,14,49.65,969.93,With Ideal Driving Line,False,False,True,False,False,False,False,True,True,False,True,False,2
BS ID12,14,48.16,969.93,With Ideal Driving Line,False,False,False,True,False,False,False,True,True,False,True,False,3
BS ID12,14,56.64,969.93,With Ideal Driving Line,False,False,False,False,True,False,False,True,True,False,True,False,4
BS ID12,14,53.8,969.93,With Ideal Driving Line,False,False,False,False,False,True,False,True,True,False,True,False,5
BS ID12,14,93.1,969.93,No Assistance,True,False,False,False,False,False,False,False,True,False,False,True,1
BS ID12,14,62.21,969.93,No Assistance,True,False,True,False,False,False,False,False,True,False,False,True,2
BS ID12,14,62.55,969.93,No Assistance,True,False,False,True,False,False,False,False,True,False,False,True,3
BS ID12,14,64.01,969.93,No Assistance,True,False,False,False,True,False,False,False,True,False,False,True,4
BS ID12,14,71.38,969.93,No Assistance,True,False,False,False,False,True,False,False,True,False,False,True,5
NB ID3,15,50.74,885.76,With Ideal Driving Line,False,False,False,False,False,False,False,True,False,True,False,False,1
NB ID3,15,50.82,885.76,With Ideal Driving Line,False,False,True,False,False,False,False,True,False,True,False,False,2
NB ID3,15,49.66,885.76,With Ideal Driving Line,False,False,False,True,False,False,False,True,False,True,False,False,3
NB ID3,15,49.87,885.76,With Ideal Driving Line,False,False,False,False,True,False,False,True,False,True,False,False,4
NB ID3,15,45.18,885.76,With Ideal Driving Line,False,False,False,False,False,True,False,True,False,True,False,False,5
NB ID3,15,68.05,885.76,No Assistance,True,False,False,False,False,False,False,False,False,True,True,False,1
NB ID3,15,60.38,885.76,No Assistance,True,False,True,False,False,False,False,False,False,True,True,False,2
NB ID3,15,59.31,885.76,No Assistance,True,False,False,True,False,False,False,False,False,True,True,False,3
NB ID3,15,65.85,885.76,No Assistance,True,False,False,False,True,False,False,False,False,True,True,False,4
NB ID3,15,62.58,885.76,No Assistance,True,False,False,False,False,True,False,False,False,True,True,False,5
NB ID3,15,74.59,885.76,With Driving Coach,False,True,False,False,False,False,True,False,False,True,False,True,1
NB ID3,15,62.07,885.76,With Driving Coach,False,True,True,False,False,False,True,False,False,True,False,True,2
NB ID3,15,60.93,885.76,With Driving Coach,False,True,False,True,False,False,True,False,False,True,False,True,3
NB ID3,15,61.43,885.76,With Driving Coach,False,True,False,False,True,False,True,False,False,True,False,True,4
NB ID3,15,64.3,885.76,With Driving Coach,False,True,False,False,False,True,True,False,False,True,False,True,5
AS ID6,16,69.44,826.13,No Assistance,False,True,False,False,False,False,False,False,False,True,False,False,1
AS ID6,16,59.19,826.13,No Assistance,False,True,True,False,False,False,False,False,False,True,False,False,2
AS ID6,16,60.08,826.13,No Assistance,False,True,False,True,False,False,False,False,False,True,False,False,3
AS ID6,16,59.64,826.13,No Assistance,False,True,False,False,True,False,False,False,False,True,False,False,4
AS ID6,16,60.08,826.13,No Assistance,False,True,False,False,False,True,False,False,False,True,False,False,5
AS ID6,16,47.79,826.13,With Driving Coach,False,False,False,False,False,False,True,False,False,True,True,False,1
AS ID6,16,43.56,826.13,With Driving Coach,False,False,True,False,False,False,True,False,False,True,True,False,2
AS ID6,16,44.25,826.13,With Driving Coach,False,False,False,True,False,False,True,False,False,True,True,False,3
AS ID6,16,43.61,826.13,With Driving Coach,False,False,False,False,True,False,True,False,False,True,True,False,4
AS ID6,16,44.65,826.13,With Driving Coach,False,False,False,False,False,True,True,False,False,True,True,False,5
AS ID6,16,64.61,826.13,With Ideal Driving Line,True,False,False,False,False,False,False,True,False,True,False,True,1
AS ID6,16,56.59,826.13,With Ideal Driving Line,True,False,True,False,False,False,False,True,False,True,False,True,2
AS ID6,16,56.99,826.13,With Ideal Driving Line,True,False,False,True,False,False,False,True,False,True,False,True,3
AS ID6,16,58.66,826.13,With Ideal Driving Line,True,False,False,False,True,False,False,True,False,True,False,True,4
AS ID6,16,56.99,826.13,With Ideal Driving Line,True,False,False,False,False,True,False,True,False,True,False,True,5
IA ID16,17,49.82,802.13,With Driving Coach,False,False,False,False,False,False,True,False,False,True,False,False,1
IA ID16,17,46.03,802.13,With Driving Coach,False,False,True,False,False,False,True,False,False,True,False,False,2
IA ID16,17,42.73,802.13,With Driving Coach,False,False,False,True,False,False,True,False,False,True,False,False,3
IA ID16,17,44.59,802.13,With Driving Coach,False,False,False,False,True,False,True,False,False,True,False,False,4
IA ID16,17,43.89,802.13,With Driving Coach,False,False,False,False,False,True,True,False,False,True,False,False,5
IA ID16,17,60.04,802.13,With Ideal Driving Line,True,False,False,False,False,False,False,True,False,True,True,False,1
IA ID16,17,55.78,802.13,With Ideal Driving Line,True,False,True,False,False,False,False,True,False,True,True,False,2
IA ID16,17,65.0,802.13,With Ideal Driving Line,True,False,False,True,False,False,False,True,False,True,True,False,3
IA ID16,17,55.56,802.13,With Ideal Driving Line,True,False,False,False,True,False,False,True,False,True,True,False,4
IA ID16,17,54.2,802.13,With Ideal Driving Line,True,False,False,False,False,True,False,True,False,True,True,False,5
IA ID16,17,60.52,802.13,No Assistance,False,True,False,False,False,False,False,False,False,True,False,True,1
IA ID16,17,56.38,802.13,No Assistance,False,True,True,False,False,False,False,False,False,True,False,True,2
IA ID16,17,56.54,802.13,No Assistance,False,True,False,True,False,False,False,False,False,True,False,True,3
IA ID16,17,55.03,802.13,No Assistance,False,True,False,False,True,False,False,False,False,True,False,True,4
IA ID16,17,56.02,802.13,No Assistance,False,True,False,False,False,True,False,False,False,True,False,True,5
MaL ID19,18,70.0,923.55,With Ideal Driving Line,True,False,False,False,False,False,False,True,False,True,False,False,1
MaL ID19,18,70.0,923.55,With Ideal Driving Line,True,False,True,False,False,False,False,True,False,True,False,False,2
MaL ID19,18,74.95,923.55,With Ideal Driving Line,True,False,False,True,False,False,False,True,False,True,False,False,3
MaL ID19,18,63.85,923.55,With Ideal Driving Line,True,False,False,False,True,False,False,True,False,True,False,False,4
MaL ID19,18,64.85,923.55,With Ideal Driving Line,True,False,False,False,False,True,False,True,False,True,False,False,5
MaL ID19,18,76.91,923.55,No Assistance,False,True,False,False,False,False,False,False,False,True,True,False,1
MaL ID19,18,64.11,923.55,No Assistance,False,True,True,False,False,False,False,False,False,True,True,False,2
MaL ID19,18,68.04,923.55,No Assistance,False,True,False,True,False,False,False,False,False,True,True,False,3
MaL ID19,18,64.88,923.55,No Assistance,False,True,False,False,True,False,False,False,False,True,True,False,4
MaL ID19,18,64.4,923.55,No Assistance,False,True,False,False,False,True,False,False,False,True,True,False,5
MaL ID19,18,51.76,923.55,With Driving Coach,False,False,False,False,False,False,True,False,False,True,False,True,1
