,timestamp,current_engine_rpm,acceleration_x,acceleration_y,acceleration_z,velocity_x,velocity_y,velocity_z,yaw,pitch,roll,position_x,position_y,position_z,speed,power,torque
450,5047,8999.9951171875,-3.049598455429077,-0.19747915863990784,15.56121826171875,0.2712005376815796,0.11133971065282822,21.51548957824707,3.0768420696258545,-0.0057088048197329044,-0.004087898414582014,-5052.98193359375,179.06858825683594,-290.8561096191406,21.517484664916992,733354.5625,1090.019287109375
468,5181,8999.9951171875,-4.601056098937988,0.013947099447250366,15.59327507019043,0.7713396549224854,0.1486411988735199,23.431467056274414,3.02603816986084,-0.0038789142854511738,-0.003118407679721713,-5052.78857421875,179.09767150878906,-293.7042236328125,23.444629669189453,812515.9375,1081.1690673828125
486,5316,8999.9951171875,-4.807239532470703,-0.20168107748031616,15.122471809387207,1.3800859451293945,0.15818828344345093,25.324228286743164,2.968574285507202,-0.003221108578145504,-0.0031048166565597057,-5052.47802734375,179.12908935546875,-296.7548828125,25.36229705810547,869306.125,1064.861328125
504,5447,8999.9951171875,-6.149040222167969,0.04194331914186478,13.453227043151855,2.251720428466797,0.14540565013885498,27.003803253173828,2.9029386043548584,-0.004842496942728758,-0.004055596422404051,-5052.01318359375,179.1616973876953,-300.1016845703125,27.097909927368164,651759.8125,766.7559814453125
522,5586,8999.9951171875,-5.174476623535156,0.26960936188697815,0.15370845794677734,3.4511475563049316,0.27187544107437134,26.752214431762695,2.827235221862793,-0.0023141868878155947,-0.0027710965368896723,-5051.39794921875,179.20159912109375,-303.6161193847656,26.975271224975586,19796.474609375,40.535701751708984
540,5721,8999.9951171875,-8.059199333190918,-0.6173542737960815,-7.711198329925537,4.944101810455322,0.359064519405365,25.357465744018555,2.7301077842712402,0.00453930115327239,-0.002662250306457281,-5050.70703125,179.23707580566406,-306.98187255859375,25.837459564208984,-38939.62890625,-90.46334838867188
558,5857,8999.9951171875,-10.493542671203613,-0.4124467074871063,-8.418292045593262,6.842557430267334,0.38610178232192993,23.379030227661133,2.605924129486084,0.009127352386713028,-0.0037787812761962414,-5049.97021484375,179.25732421875,-310.08734130859375,24.36285400390625,-28395.880859375,-75.55685424804688
576,5983,8999.9951171875,-10.416717529296875,-0.049738191068172455,-6.967877388000488,9.100348472595215,0.35073238611221313,21.130714416503906,2.4478018283843994,0.0077210539020597935,-0.003924380987882614,-5049.15673828125,179.27621459960938,-313.03643798828125,23.009702682495117,-20742.587890625,-62.93715286254883
594,6115,8999.9951171875,-10.020513534545898,-0.8816090822219849,-4.563952445983887,11.586505889892578,0.3285895586013794,18.3621883392334,2.2626523971557617,0.010782260447740555,-0.005261809099465609,-5048.296875,179.29330444335938,-315.8014831542969,21.714628219604492,29427.755859375,93.47818756103516
612,6248,8999.9951171875,-9.111837387084961,-0.7601972818374634,-2.0451724529266357,13.783970832824707,0.29403430223464966,15.346931457519531,2.0599923133850098,0.013591325841844082,-0.007075360976159573,-5047.39599609375,179.2970428466797,-318.39306640625,20.630380630493164,234008.03125,530.4426879882812
630,6377,8999.9951171875,-10.11634635925293,0.23615294694900513,7.316188812255859,14.955034255981445,0.2719022035598755,13.892101287841797,1.8945904970169067,0.01094147376716137,-0.006085396744310856,-5046.4306640625,179.29763793945312,-320.8017883300781,20.413658142089844,466236.96875,848.1399536132812
648,6503,8999.9951171875,-9.878780364990234,-0.0026769861578941345,11.494908332824707,15.618149757385254,0.2410328984260559,12.967519760131836,1.7409733533859253,0.009803153574466705,-0.006844323128461838,-5045.208984375,179.29881286621094,-323.18743896484375,20.30126190185547,757741.875,1056.5579833984375
