'
timestamp in s': 52.214, 36.102, 'acceleration_x in m/s²': -22, -18, 'acceleration_y in m/s²': 2, 0, 'acceleration_z in m/s²': 14, 9, 'yaw in degrees': 0.77, 0.96, 'position_x in m': 637, 632, 'position_y in m': 271, 270, 'position_z in m': 2718, 2724, 'speed in km/h': 109, 182, 'lap_number': 0, 0, 'segment': 3, '
timestamp in s': 53.253, 36.769, 'acceleration_x in m/s²': 3, 0, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 12, 8, 'yaw in degrees': 0.78, 0.88, 'position_x in m': 662, 661, 'position_y in m': 271, 271, 'position_z in m': 2746, 2746, 'speed in km/h': 149, 203, 'lap_number': 0, 0, 'segment': 3, '
timestamp in s': 54.288, 37.673, 'acceleration_x in m/s²': 6, 4, 'acceleration_y in m/s²': -3, -1, 'acceleration_z in m/s²': -12, -14, 'yaw in degrees': 0.9, 0.73, 'position_x in m': 695, 695, 'position_y in m': 273, 273, 'position_z in m': 2780, 2780, 'speed in km/h': 165, 165, 'lap_number': 0, 0, 'segment': 3, '
timestamp in s': 55.296, 38.555, 'acceleration_x in m/s²': 15, 18, 'acceleration_y in m/s²': 0, 1, 'acceleration_z in m/s²': 3, 2, 'yaw in degrees': 1.51, 1.13, 'position_x in m': 725, 725, 'position_y in m': 276, 276, 'position_z in m': 2807, 2804, 'speed in km/h': 129, 153, 'lap_number': 0, 0, 'segment': 3, '
timestamp in s': 56.346, 39.379, 'acceleration_x in m/s²': 15, 16, 'acceleration_y in m/s²': 0, -2, 'acceleration_z in m/s²': 6, -1, 'yaw in degrees': 1.95, 1.57, 'position_x in m': 759, 758, 'position_y in m': 278, 278, 'position_z in m': 2819, 2814, 'speed in km/h': 117, 141, 'lap_number': 0, 0, 'segment': 3, '
timestamp in s': 57.37, 40.243, 'acceleration_x in m/s²': -2, -1, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 2, 11, 'yaw in degrees': 1.76, 1.73, 'position_x in m': 793, 794, 'position_y in m': 281, 281, 'position_z in m': 2815, 2811, 'speed in km/h': 134, 169, 'lap_number': 0, 0, 'segment': 3, '
timestamp in s': 58.367, 41.042, 'acceleration_x in m/s²': 1, 5, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 11, 6, 'yaw in degrees': 1.81, 1.81, 'position_x in m': 832, 832, 'position_y in m': 286, 286, 'position_z in m': 2806, 2804, 'speed in km/h': 164, 184, 'lap_number': 0, 0, 'segment': 3, '
timestamp in s': 59.423, 41.893, 'acceleration_x in m/s²': 7, 10, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': -11, 7, 'yaw in degrees': 2.01, 1.93, 'position_x in m': 878, 876, 'position_y in m': 292, 292, 'position_z in m': 2794, 2791, 'speed in km/h': 141, 207, 'lap_number': 0, 0, 'segment': 4, '
timestamp in s': 60.469, 42.605, 'acceleration_x in m/s²': -6, 0, 'acceleration_y in m/s²': -3, -6, 'acceleration_z in m/s²': -13, -2, 'yaw in degrees': 2.09, 2.03, 'position_x in m': 917, 915, 'position_y in m': 298, 298, 'position_z in m': 2774, 2773, 'speed in km/h': 147, 222, 'lap_number': 0, 0, 'segment': 4, '
timestamp in s': 61.54, 43.308, 'acceleration_x in m/s²': -10, 0, 'acceleration_y in m/s²': 0, -1, 'acceleration_z in m/s²': 0, -22, 'yaw in degrees': 1.18, 2.04, 'position_x in m': 947, 947, 'position_y in m': 302, 302, 'position_z in m': 2756, 2757, 'speed in km/h': 96, 153, 'lap_number': 0, 0, 'segment': 4, '
timestamp in s': 62.587, 43.968, 'acceleration_x in m/s²': -34, 9, 'acceleration_y in m/s²': 10, 0, 'acceleration_z in m/s²': -77, -20, 'yaw in degrees': 1.04, 2.14, 'position_x in m': 973, 969, 'position_y in m': 304, 304, 'position_z in m': 2749, 2745, 'speed in km/h': 47, 118, 'lap_number': 0, 0, 'segment': 4, '
timestamp in s': 63.63, 44.123, 'acceleration_x in m/s²': 0, 10, 'acceleration_y in m/s²': 0, -1, 'acceleration_z in m/s²': 0, -4, 'yaw in degrees': 0.9, 2.19, 'position_x in m': 976, 973, 'position_y in m': 305, 304, 'position_z in m': 2747, 2743, 'speed in km/h': 0, 116, 'lap_number': 0, 0, 'segment': 4, '
timestamp in s': 64.653, 44.177, 'acceleration_x in m/s²': 3, 10, 'acceleration_y in m/s²': 0, -1, 'acceleration_z in m/s²': -8, -3, 'yaw in degrees': 1.05, 2.21, 'position_x in m': 975, 975, 'position_y in m': 305, 304, 'position_z in m': 2746, 2741, 'speed in km/h': 18, 115, 'lap_number': 0, 0, 'segment': 4, '
timestamp in s': 65.665, 44.23, 'acceleration_x in m/s²': 4, 10, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 10, -2, 'yaw in degrees': 1.94, 2.23, 'position_x in m': 978, 976, 'position_y in m': 305, 304, 'position_z in m': 2744, 2740, 'speed in km/h': 30, 115, 'lap_number': 0, 0, 'segment': 4, '
timestamp in s': 66.694, 44.615, 'acceleration_x in m/s²': 1, 11, 'acceleration_y in m/s²': 0, -1, 'acceleration_z in m/s²': 11, -2, 'yaw in degrees': 2.28, 2.34, 'position_x in m': 990, 985, 'position_y in m': 306, 305, 'position_z in m': 2736, 2733, 'speed in km/h': 73, 110, 'lap_number': 0, 0, 'segment': 4, '
timestamp in s': 67.706, 45.16, 'acceleration_x in m/s²': 3, 15, 'acceleration_y in m/s²': 0, -2, 'acceleration_z in m/s²': 12, -3, 'yaw in degrees': 3.02, 2.65, 'position_x in m': 1001, 996, 'position_y in m': 306, 306, 'position_z in m': 2724, 2720, 'speed in km/h': 56, 103, 'lap_number': 0, 0, 'segment': 4, '
timestamp in s': 68.754, 45.815, 'acceleration_x in m/s²': 12, 21, 'acceleration_y in m/s²': 0, 1, 'acceleration_z in m/s²': 9, -2, 'yaw in degrees': -2.6, 3.1, 'position_x in m': 1005, 1001, 'position_y in m': 305, 305, 'position_z in m': 2703, 2703, 'speed in km/h': 86, 92, 'lap_number': 0, 0, 'segment': 4, '
timestamp in s': 69.815, 46.864, 'acceleration_x in m/s²': 5, 8, 'acceleration_y in m/s²': -2, -5, 'acceleration_z in m/s²': 11, 5, 'yaw in degrees': -2.5, -2.5, 'position_x in m': 993, 994, 'position_y in m': 304, 304, 'position_z in m': 2675, 2675, 'speed in km/h': 125, 117, 'lap_number': 0, 0, 'segment': 4, '
timestamp in s': 70.868, 48.061, 'acceleration_x in m/s²': 4, -10, 'acceleration_y in m/s²': -1, 0, 'acceleration_z in m/s²': 4, 12, 'yaw in degrees': -2.45, -2.36, 'position_x in m': 966, 963, 'position_y in m': 301, 301, 'position_z in m': 2639, 2642, 'speed in km/h': 173, 162, 'lap_number': 0, 0, 'segment': 4, '
timestamp in s': 71.929, 49.18, 'acceleration_x in m/s²': 0, -6, 'acceleration_y in m/s²': 1, 0, 'acceleration_z in m/s²': 9, 9, 'yaw in degrees': -2.44, -2.53, 'position_x in m': 931, 928, 'position_y in m': 298, 298, 'position_z in m': 2597, 2600, 'speed in km/h': 209, 187, 'lap_number': 0, 0, 'segment': 4, '
timestamp in s': 72.982, 50.302, 'acceleration_x in m/s²': 6, 0, 'acceleration_y in m/s²': 1, 0, 'acceleration_z in m/s²': -3, 5, 'yaw in degrees': -2.41, -2.44, 'position_x in m': 889, 889, 'position_y in m': 294, 294, 'position_z in m': 2547, 2549, 'speed in km/h': 218, 223, 'lap_number': 1, 1, 'segment': 0
